word,frequency
bitch,31
I'm,28
diamonds,27
fully,24
stacked,24
mine,22
lasagne,21
go,20
yeah,16
congratulations,16
T-Series,16
got,15
day,15
Coco,14
big,11
woo,11
see,11
oh,11
fuck,10
like,9
cry,9
nothing,8
think,8
fuckin',8
that's,8
time,8
'til,8
shit,8
crying,7
know,7
uh,7
real,6
one,6
'cause,6
party,6
celebration,6
i'll,6
ooh,6
want,6
night,6
ain't,5
wanna,5
let's,5
can't,5
tell,5
'bout,5
world,5
still,5
baby,5
life,5
fucking,4
billion,4
there's,4
take,4
defamation,4
non-stop,4
sight,4
ah,4
hey,4
haha,4
little,4
behind,4
mommy,4
okay,4
fight,4
number,3
India,3
best,3
look,3
ew,3
even,3
papa,3
hit,3
million,3
waitin',3
amazing,3
Swedish,3
legal,3
joke,3
please,3
love,3
people,3
give,3
pick,3
stone,3
house,3
bet,3
hundred,3
sir,3
gamer,3
brain,3
help,3
mojo,3
started,3
rainbow,3
6iine,3
must,2
come,2
looking,2
let,2
mumma,2
pyjama,2
oof,2
population,2
hold,2
defecation,2
mean,2
took,2
every,2
hope,2
right,2
get,2
past,2
mafia,2
reasons,2
Indian,2
hmm,2
problem,2
eat,2
dick,2
suck,2
army,2
end,2
watch,2
last,2
yeet,2
stuff,2
man,2
make,2
blue,2
iron,2
found,2
alone,2
find,2
mom,2
tears,2
break,2
dawn,2
seen,2
bitches,2
easy,2
deeper,2
feel,2
what's,2
huh,2
always,2
say,2
challenge,2
diamond,2
shut,2
kids,2
yay,2
mama,2
really,2
daddy,2
louder,2
views,2
week,2
personal,1
kid,1
bobs,1
vegana,1
whichever,1
sit,1
spill,1
tea,1
tryna,1
dethrone,1
spot,1
lose,1
we're,1
gonna,1
completely,1
done,1
begun,1
review,1
zero,1
bye,1
gone,1
hungry,1
drama,1
serve,1
wet,1
hell,1
bob,1
kiss,1
blue-eyes,1
white,1
dragon,1
dark,1
magician,1
fifth,1
nation,1
nine-year-olds,1
worlds,1
oops,1
motu,1
patlu,1
supposed,1
language,1
sounds,1
came,1
mumble,1
rap,1
community,1
yes,1
johnny,1
sugar,1
throw,1
wetting,1
videos,1
seem,1
sub-bot,1
incredible,1
job,1
differences,1
today,1
corporation,1
guess,1
beat,1
boy,1
need,1
Asians,1
nice,1
massive,1
corporate,1
entity,1
song,1
Bollywood,1
wrong,1
starting,1
business,1
selling,1
pirated,1
songs,1
oops,1
we'd,1
Wikipedia,1
used,1
held,1
media,1
sure,1
illegal,1
certain,1
collusions,1
serious,1
kill,1
sorry,1
memes,1
bros,1
Bombay,1
Bangladesh,1
heavy,1
hitter,1
cause,1
genocide,1
call,1
letter,1
post,1
saying,1
cease,1
desist,1
telling,1
educate,1
silly,1
meatballs,1
yum,1
Indians,1
poo-poo,1
brains,1
blatant,1
racist,1
lie,1
YouTube,1
figured,1
sick,1
son,1
next,1
figure,1
fix,1
caste,1
system,1
maybe,1
ads,1
solve,1
crippling,1
poverty,1
guessing,1
probably,1
never,1
mind,1
poor,1
pop,1
bottles,1
9-year-old,1
non-alcoholic,1
living,1
kamikaze,1
thanks,1
sticking,1
channel,1
ever,1
since,1
nobody,1
screaming,1
barrels,1
adventure,1
reign,1
felix,1
arvid,1
ulf,1
Kjellberg,1
change,1
controversy,1
side,1
would,1
rather,1
wild,1
ride,1
heard,1
here's,1
brofist,1
hoo,1
lit,1
metoo,1
severely,1
affect,1
bottom,1
line,1
goes,1
gamers,1
we've,1
feeling,1
aw,1
hahahaha,1
wake,1
early,1
morning,1
ghast,1
weep,1
aah,1
nether,1
sleep,1
frick,1
case,1
amnesia,1
fortune,1
buff,1
12,1
fricking,1
lowkey,1
underground,1
ground,1
dreams,1
tearing,1
seams,1
grind,1
leagues,1
green,1
biggest,1
ball,1
i'd,1
satisfied,1
single,1
thing,1
could-,1
hoes,1
farm,1
Sven,1
millions,1
agree,1
happened,1
bedrock,1
means,1
good,1
wh-why,1
way,1
swear,1
reaper,1
gleaning,1
squeeze,1
power,1
breezing,1
soon,1
six,1
feet,1
deep,1
believe,1
bored,1
peak,1
lies,1
beneath,1
gucci,1
brewing,1
enchanted,1
lapis,1
lazuli,1
pissed,1
matter,1
made,1
four,1
blocks,1
hear,1
creative,1
how's,1
rich,1
plaque,1
stack,1
slap,1
six-pack,1
dumb,1
mining,1
pickaxe,1
remember,1
fair,1
second,1
Minecraft,1
multi-millionaire,1
die,1
PewDiePie,1
gather,1
round,1
ones,1
music,1
story,1
tellin',1
stupid,1
bitch-ass,1
melon,1
everybody,1
dad,1
chokehold,1
loco,1
passin',1
dissed,1
government,1
blacklist,1
saw,1
cringe,1
funny,1
head,1
approaching,1
nervous,1
nah,1
audience,1
bunch,1
motherfuckin',1
virgins,1
aha,1
snitch,1
6iinе,1
spartan,1
straight,1
cliff,1
alive,1
bе,1
make-a-wish,1
everything,1
he's,1
crazy,1
anything,1
santa,1
dressed,1
lying,1
says,1
smart,1
dog,1
heaven,1
rotting,1
yard,1
sad,1
spoil,1
harry,1
potter,1
wait,1
j,1
k,1
already,1
i'ma,1
teach,1
bath,1
scrub,1
ears,1
rinse,1
eyes,1
leave,1
tub,1
apple,1
b,1
books,1
hair,1
bright,1
dumb-dumb,1
lead,1
paint,1
6iine-9ine-9ine,1
facts,1
babies,1
viewing,1
asleep,1
developing,1
talk,1
learn,1
subscribe,1
walk,1
three-year-olds,1
withdrawal,1
symptoms,1
away,1
algorithm,1
quit,1
children,1
gives,1
beggin',1
playin',1
though,1
ankle,1
monitor-wearing,1
otherwise,1
you's,1
dissing,1
